iter	Passed	Remaining
621	1827	1110
622	1829	1107
623	1831	1103
624	1832	1099
625	1834	1096
626	1836	1092
627	1839	1089
628	1841	1086
629	1843	1082
630	1844	1078
631	1846	1075
632	1848	1071
633	1849	1067
634	1851	1064
635	1854	1061
636	1856	1058
637	1858	1054
638	1860	1050
639	1861	1047
640	1863	1043
641	1864	1039
642	1866	1036
643	1869	1033
644	1871	1029
645	1872	1026
646	1874	1022
647	1876	1019
648	1878	1015
649	1879	1012
650	1881	1008
651	1884	1005
652	1886	1002
653	1887	998
654	1889	995
655	1891	991
656	1892	988
657	1894	984
658	1896	981
659	1898	978
660	1900	974
661	1902	971
662	1904	967
663	1906	964
664	1909	961
665	1921	963
666	1924	960
667	1927	957
668	1930	955
669	1932	951
670	1934	948
671	1936	945
672	1938	941
673	1940	938
674	1942	935
675	1945	932
676	1948	929
677	1950	926
678	1952	923
679	1955	920
680	1958	917
681	1960	914
682	1962	910
683	1964	907
684	1966	904
685	1968	900
686	1970	897
687	1973	894
688	1975	891
689	1977	888
690	1979	885
691	1981	881
692	1983	878
693	1985	875
694	1988	872
695	1990	869
696	1992	866
697	1994	863
698	1997	860
699	1999	856
700	2001	853
701	2004	850
702	2006	847
703	2008	844
704	2010	841
705	2012	838
706	2014	834
707	2016	831
708	2018	828
709	2020	825
710	2022	821
711	2023	818
712	2025	815
713	2027	812
714	2028	808
715	2032	806
716	2034	802
717	2035	799
718	2037	796
719	2038	792
720	2040	789
721	2042	786
722	2043	783
723	2047	780
724	2049	777
725	2051	774
726	2053	771
727	2054	767
728	2056	764
729	2058	761
730	2060	758
731	2062	755
732	2064	752
733	2065	748
734	2067	745
735	2069	742
736	2070	738
737	2072	735
738	2074	732
739	2077	729
740	2079	726
741	2080	723
742	2082	720
743	2084	717
744	2085	713
745	2087	710
746	2089	707
747	2092	704
748	2093	701
749	2095	698
750	2097	695
751	2098	692
752	2100	689
753	2102	685
754	2104	682
755	2106	680
756	2109	677
757	2111	674
758	2113	671
759	2115	668
760	2118	665
761	2120	662
762	2123	659
763	2126	656
764	2134	655
765	2138	653
766	2140	650
767	2143	647
768	2145	644
769	2148	641
770	2150	638
771	2153	636
772	2156	633
773	2158	630
774	2163	628
775	2168	626
776	2172	623
777	2175	620
778	2180	618
779	2182	615
780	2185	612
781	2188	610
782	2190	607
783	2193	604
784	2196	601
785	2213	602
786	2217	600
787	2219	597
788	2221	594
789	2225	591
790	2231	589
791	2234	586
792	2240	584
793	2242	581
794	2245	578
795	2247	576
796	2250	573
797	2257	571
798	2259	568
799	2261	565
800	2264	562
801	2266	559
802	2269	556
803	2271	553
804	2277	551
805	2280	548
806	2286	546
807	2290	544
808	2292	541
809	2294	538
810	2296	535
811	2298	532
812	2301	529
813	2303	526
814	2305	523
815	2306	520
816	2308	517
817	2309	513
818	2311	510
819	2314	508
820	2316	505
821	2318	502
822	2320	498
823	2321	495
824	2323	492
825	2325	489
826	2327	486
827	2330	484
828	2332	481
829	2334	478
830	2336	475
831	2337	472
832	2339	469
833	2342	466
834	2344	463
835	2346	460
836	2348	457
837	2349	454
838	2351	451
839	2352	448
840	2354	445
841	2357	442
842	2359	439
843	2361	436
844	2362	433
845	2364	430
846	2366	427
847	2367	424
848	2369	421
849	2372	418
850	2374	415
851	2376	412
852	2377	409
853	2379	406
854	2381	403
855	2383	400
856	2385	398
857	2389	395
858	2391	392
859	2393	389
860	2395	386
861	2397	383
862	2399	380
863	2401	377
864	2403	375
865	2405	372
866	2406	369
867	2408	366
868	2410	363
869	2412	360
870	2415	357
871	2417	354
872	2419	351
873	2420	348
874	2422	346
875	2423	343
876	2425	340
877	2427	337
878	2429	334
879	2433	331
880	2435	329
881	2437	326
882	2439	323
883	2440	320
884	2442	317
885	2444	314
886	2447	311
887	2448	308
888	2450	305
889	2452	303
890	2453	300
891	2455	297
892	2457	294
893	2460	291
894	2462	288
895	2463	285
896	2465	283
897	2467	280
898	2468	277
899	2470	274
900	2472	271
901	2474	268
902	2476	266
903	2478	263
904	2480	260
905	2482	257
906	2485	254
907	2488	252
908	2490	249
909	2492	246
910	2495	243
911	2497	240
912	2499	238
913	2502	235
914	2504	232
915	2507	229
916	2509	227
917	2512	224
918	2514	221
919	2517	218
920	2520	216
921	2522	213
922	2524	210
923	2527	207
924	2530	205
925	2532	202
926	2534	199
927	2537	196
928	2540	194
929	2542	191
930	2545	188
931	2547	185
932	2549	183
933	2551	180
934	2555	177
935	2561	175
936	2568	172
937	2576	170
938	2581	167
939	2584	164
940	2586	162
941	2589	159
942	2591	156
943	2596	154
944	2599	151
945	2601	148
946	2603	145
947	2605	142
948	2610	140
949	2614	137
950	2616	134
951	2619	132
952	2620	129
953	2626	126
954	2632	124
955	2636	121
956	2642	118
957	2644	115
958	2645	113
959	2647	110
960	2649	107
961	2650	104
962	2652	101
963	2655	99
964	2657	96
965	2659	93
966	2661	90
967	2664	88
968	2665	85
969	2668	82
970	2671	79
971	2672	76
972	2674	74
973	2676	71
974	2677	68
975	2679	65
976	2681	63
977	2685	60
978	2687	57
979	2690	54
980	2692	52
981	2693	49
982	2695	46
983	2697	43
984	2701	41
985	2702	38
986	2704	35
987	2705	32
988	2707	30
989	2709	27
990	2710	24
991	2714	21
992	2715	19
993	2717	16
994	2719	13
995	2720	10
996	2722	8
997	2723	5
998	2725	2
999	2727	0
