iter	Passed	Remaining
655	3726	1954
656	3728	1946
657	3730	1939
658	3733	1931
659	3735	1924
660	3738	1917
661	3741	1910
662	3743	1902
663	3745	1895
664	3748	1888
665	3750	1881
666	3754	1874
667	3757	1867
668	3759	1860
669	3762	1853
670	3764	1845
671	3767	1838
672	3770	1831
673	3772	1824
674	3774	1817
675	3777	1810
676	3779	1803
677	3782	1796
678	3785	1789
679	3787	1782
680	3790	1775
681	3792	1768
682	3794	1761
683	3797	1754
684	3799	1747
685	3802	1740
686	3804	1733
687	3806	1726
688	3809	1719
689	3811	1712
690	3814	1705
691	3816	1698
692	3819	1691
693	3821	1685
694	3824	1678
695	3826	1671
696	3829	1664
697	3831	1657
698	3834	1651
699	3836	1644
700	3839	1637
701	3841	1630
702	3843	1623
703	3846	1617
704	3849	1610
705	3850	1603
706	3853	1596
707	3855	1590
708	3858	1583
709	3860	1576
710	3863	1570
711	3865	1563
712	3867	1556
713	3870	1550
714	3872	1543
715	3875	1537
716	3877	1530
717	3879	1523
718	3882	1517
719	3884	1510
720	3887	1504
721	3889	1497
722	3892	1491
723	3895	1484
724	3897	1478
725	3900	1471
726	3902	1465
727	3905	1459
728	3907	1452
729	3910	1446
730	3912	1439
731	3915	1433
732	3917	1427
733	3920	1420
734	3922	1414
735	3924	1407
736	3927	1401
737	3930	1395
738	3932	1388
739	3935	1382
740	3937	1376
741	3940	1370
742	3943	1364
743	3945	1357
744	3948	1351
745	3950	1345
746	3953	1338
747	3956	1332
748	3958	1326
749	3960	1320
750	3963	1314
751	3965	1307
752	3968	1301
753	3971	1295
754	3973	1289
755	3975	1283
756	3978	1277
757	3980	1270
758	3983	1264
759	3985	1258
760	3988	1252
761	3990	1246
762	3993	1240
763	3995	1234
764	3997	1228
765	4000	1222
766	4003	1216
767	4006	1210
768	4008	1204
769	4011	1198
770	4013	1192
771	4015	1186
772	4018	1179
773	4020	1173
774	4022	1167
775	4025	1161
776	4027	1156
777	4030	1150
778	4033	1144
779	4035	1138
780	4038	1132
781	4040	1126
782	4043	1120
783	4045	1114
784	4048	1108
785	4050	1102
786	4052	1096
787	4055	1091
788	4057	1085
789	4060	1079
790	4063	1073
791	4066	1067
792	4069	1062
793	4072	1056
794	4076	1051
795	4078	1045
796	4081	1039
797	4083	1033
798	4085	1027
799	4088	1022
800	4090	1016
801	4092	1010
802	4095	1004
803	4097	998
804	4100	993
805	4102	987
806	4106	982
807	4109	976
808	4112	970
809	4114	965
810	4117	959
811	4120	953
812	4122	948
813	4124	942
814	4127	936
815	4130	931
816	4133	925
817	4135	920
818	4139	914
819	4143	909
820	4146	903
821	4149	898
822	4153	893
823	4156	887
824	4158	882
825	4161	876
826	4163	871
827	4166	865
828	4168	859
829	4171	854
830	4174	848
831	4177	843
832	4180	838
833	4182	832
834	4185	826
835	4187	821
836	4189	815
837	4192	810
838	4194	804
839	4197	799
840	4199	793
841	4201	788
842	4204	783
843	4206	777
844	4209	772
845	4212	766
846	4215	761
847	4217	756
848	4220	750
849	4222	745
850	4224	739
851	4227	734
852	4229	728
853	4231	723
854	4234	718
855	4236	712
856	4239	707
857	4241	701
858	4243	696
859	4246	691
860	4248	685
861	4251	680
862	4254	675
863	4257	670
864	4259	664
865	4263	659
866	4266	654
867	4269	649
868	4272	644
869	4274	638
870	4277	633
871	4280	628
872	4282	623
873	4285	617
874	4288	612
875	4290	607
876	4294	602
877	4297	597
878	4299	591
879	4302	586
880	4304	581
881	4307	576
882	4310	571
883	4312	565
884	4315	560
885	4317	555
886	4319	550
887	4322	545
888	4324	540
889	4327	534
890	4329	529
891	4332	524
892	4334	519
893	4337	514
894	4339	509
895	4343	504
896	4346	499
897	4348	493
898	4351	488
899	4353	483
900	4356	478
901	4358	473
902	4361	468
903	4363	463
904	4365	458
905	4368	453
906	4370	448
907	4373	443
908	4376	438
909	4378	433
910	4380	427
911	4383	422
912	4386	418
913	4390	413
914	4393	408
915	4395	403
916	4398	398
917	4400	393
918	4403	388
919	4405	383
920	4407	378
921	4410	373
922	4413	368
923	4415	363
924	4417	358
925	4420	353
926	4422	348
927	4424	343
928	4427	338
929	4429	333
930	4432	328
931	4435	323
932	4437	318
933	4440	313
934	4442	308
935	4444	303
936	4446	298
937	4449	294
938	4451	289
939	4453	284
940	4455	279
941	4458	274
942	4460	269
943	4463	264
944	4466	259
945	4469	255
946	4471	250
947	4473	245
948	4476	240
949	4478	235
950	4480	230
951	4483	226
952	4485	221
953	4488	216
954	4490	211
955	4493	206
956	4496	202
957	4498	197
958	4500	192
959	4502	187
960	4505	182
961	4508	178
962	4511	173
963	4514	168
964	4517	163
965	4519	159
966	4521	154
967	4523	149
968	4526	144
969	4529	140
970	4532	135
971	4534	130
972	4537	125
973	4540	121
974	4542	116
975	4545	111
976	4548	107
977	4551	102
978	4554	97
979	4558	93
980	4560	88
981	4562	83
982	4564	78
983	4566	74
984	4569	69
985	4572	64
986	4575	60
987	4578	55
988	4581	50
989	4585	46
990	4588	41
991	4591	37
992	4594	32
993	4597	27
994	4599	23
995	4601	18
996	4603	13
997	4606	9
998	4608	4
999	4611	0
